delivery_id,food_ready_time,dropoff_lat,dropoff_long,PackageWeight
90,2/3/2015 2:51,37.356554,-122.073268,7.524108009
91,2/3/2015 3:01,37.4313529,-122.1776287,2.774807317
92,2/3/2015 2:30,37.579594,-122.378338,5.183842432
93,2/3/2015 3:15,37.43822,-122.1499,7.006816995
94,2/3/2015 2:59,37.3989397,-122.117216,0.517322486
95,2/3/2015 3:01,37.392496,-122.081665,4.74255713
96,2/3/2015 2:44,37.5528373,-122.2538288,2.499137321
97,2/3/2015 3:03,37.363561,-122.022354,0.992294217
98,2/3/2015 2:58,37.40023,-122.0753,1.390595043
99,2/3/2015 2:53,37.4221849,-122.2031309,2.568627399
100,2/3/2015 2:46,37.571445,-122.3501,9.476813648
101,2/3/2015 2:39,37.565304,-122.284866,4.331968775
102,2/3/2015 2:46,37.507796,-122.32132,3.9300432
103,2/3/2015 2:53,37.446464,-122.185618,3.622704118
104,2/3/2015 2:50,37.41099,-122.1135,0.81187026
105,2/3/2015 2:52,37.427335,-122.120989,2.651645233
106,2/3/2015 2:38,37.55569385,-122.3137595,3.021659336
107,2/3/2015 2:45,37.434761,-122.147481,2.94326118
108,2/3/2015 2:45,37.580907,-122.352393,1.029512442
109,2/3/2015 2:49,37.368991,-122.062373,8.232387459
110,2/3/2015 2:59,37.44873186,-122.1593273,2.56043445
111,2/3/2015 3:19,37.435328,-122.20563,3.131906378
112,2/3/2015 3:01,37.4192559,-122.1495572,1.810750632
113,2/3/2015 2:57,37.4192559,-122.1495572,5.17135935
114,2/3/2015 3:01,37.441397,-122.173119,9.114988858
115,2/3/2015 2:44,37.452955,-122.181766,2.480952619
116,2/3/2015 3:02,37.42447,-122.2173,1.178282501
117,2/3/2015 2:48,37.56817594,-122.3913343,2.931665417
118,2/3/2015 3:10,37.42365038,-122.1601122,0.705623691
119,2/3/2015 3:07,37.350199,-122.117998,3.476580945
120,2/3/2015 2:59,37.442002,-122.134531,2.968640012
121,2/3/2015 2:54,37.52986,-122.29194,3.998658902
122,2/3/2015 3:03,37.4302197,-122.1881607,4.202634536
123,2/3/2015 2:58,37.4188429,-122.2092006,3.079448666
124,2/3/2015 3:01,37.4226183,-122.2012892,4.458601293
125,2/3/2015 2:56,37.4135361,-122.09444,2.996556126
126,2/3/2015 3:04,37.438258,-122.220293,6.524336197
127,2/3/2015 3:04,37.419065,-122.164336,0.280330849
128,2/3/2015 2:56,37.46381581,-122.1724202,3.372317611
129,2/3/2015 2:48,37.43441,-122.202669,1.961769884
130,2/3/2015 2:50,37.41689682,-122.1138501,0.650318868
131,2/3/2015 3:00,37.436874,-122.143586,1.308324666
132,2/3/2015 2:55,37.444042,-122.148934,5.649423446
133,2/3/2015 3:07,37.4314328,-122.1897705,4.350342832
134,2/3/2015 2:56,37.4175033,-122.0894899,4.15992297
135,2/3/2015 3:00,37.3852509,-122.070628,6.474001411
136,2/3/2015 3:09,37.403421,-122.061741,2.838102245
137,2/3/2015 2:51,37.4469855,-122.1682364,6.899019361
138,2/3/2015 3:00,37.3918709,-122.0636164,1.253400209
139,2/3/2015 2:53,37.491386,-122.26068,0.197096756
140,2/3/2015 2:59,37.43952791,-122.2426876,8.271294202
141,2/3/2015 3:04,37.4463958,-122.1561979,0.655941338
142,2/3/2015 3:10,37.401791,-122.013073,1.100779747
143,2/3/2015 3:08,37.432874,-122.13529,0.839723028
144,2/3/2015 3:11,37.4047873,-122.114942,1.753738415
145,2/3/2015 3:02,37.5652199,-122.328798,1.034036868
146,2/3/2015 3:00,37.45625,-122.143652,7.860485795
147,2/3/2015 2:53,37.431622,-122.133105,1.655330208
