,delivery_id,food_ready_time,dropoff_lat,dropoff_long,PackageWeight,Road_Distance
70,71,2/3/2015 2:48,37.41046429,-122.0949297,0.165015231,5.072562159
71,72,2/3/2015 2:36,37.41715,-122.166399,6.527536168,2.526991583
72,73,2/3/2015 2:45,37.439614,-122.189473,3.608520226,2.415579763
73,74,2/3/2015 2:49,37.430062,-122.210684,0.687854066,4.04556017
74,75,2/3/2015 2:55,37.42385447,-122.2020141,3.192310788,3.325391181
75,76,2/3/2015 2:45,37.423777,-122.1562347,0.75896964,1.898226268
76,77,2/3/2015 2:44,37.40593,-122.132362,2.280321165,3.582328089
77,78,2/3/2015 2:49,37.4248916,-122.1562793,4.369337068,1.906801188
78,79,2/3/2015 2:44,37.4593237,-122.1417567,2.234664231,2.293604635
79,80,2/3/2015 2:55,37.503055,-122.269329,9.584342133,8.355886523
80,81,2/3/2015 2:48,37.39137487,-122.0810987,2.716443556,6.220917904
81,82,2/3/2015 2:49,37.386164,-122.056359,0.255385662,7.932608597
82,83,2/3/2015 2:46,37.4593237,-122.1417567,4.575294616,2.293604635
83,84,2/3/2015 2:32,37.392962,-122.081435,1.011713047,6.256833147
84,85,2/3/2015 3:13,37.4550534,-122.1683113,7.203716522,1.909286672
85,86,2/3/2015 2:54,37.481923,-122.241467,2.254570043,5.834860101
86,87,2/3/2015 2:26,37.564095,-122.328385,3.385535613,15.6932217
87,88,2/3/2015 2:37,37.426618,-122.125219,1.113041374,2.93864987
88,89,2/3/2015 2:48,37.441889,-122.191446,4.20998011,2.540661745
89,90,2/3/2015 2:51,37.356554,-122.073268,7.524108009,8.507998143
90,91,2/3/2015 3:01,37.4313529,-122.1776287,2.774807317,1.664155812
91,92,2/3/2015 2:30,37.579594,-122.378338,5.183842432,19.44959581
92,93,2/3/2015 3:15,37.43822,-122.1499,7.006816995,1.071989249
93,94,2/3/2015 2:59,37.3989397,-122.117216,0.517322486,4.420433294
94,95,2/3/2015 3:01,37.392496,-122.081665,4.74255713,6.198113588
95,96,2/3/2015 2:44,37.5528373,-122.2538288,2.499137321,15.56975528
96,97,2/3/2015 3:03,37.363561,-122.022354,0.992294217,11.81971916
97,98,2/3/2015 2:58,37.40023,-122.0753,1.390595043,6.4369686
98,99,2/3/2015 2:53,37.4221849,-122.2031309,2.568627399,3.566918088
99,100,2/3/2015 2:46,37.571445,-122.3501,9.476813648,17.75319084
100,101,2/3/2015 2:39,37.565304,-122.284866,4.331968775,14.65130681
101,102,2/3/2015 2:46,37.507796,-122.32132,3.9300432,15.53172738
102,103,2/3/2015 2:53,37.446464,-122.185618,3.622704118,1.983478369
103,104,2/3/2015 2:50,37.41099,-122.1135,0.81187026,4.194627073
104,105,2/3/2015 2:52,37.427335,-122.120989,2.651645233,3.244550814
105,106,2/3/2015 2:38,37.55569385,-122.3137595,3.021659336,14.25785469
106,107,2/3/2015 2:45,37.434761,-122.147481,2.94326118,1.281080591
107,108,2/3/2015 2:45,37.580907,-122.352393,1.029512442,17.65582201
108,109,2/3/2015 2:49,37.368991,-122.062373,8.232387459,9.856621762
109,110,2/3/2015 2:59,37.44873186,-122.1593273,2.56043445,0.914844523
110,111,2/3/2015 3:19,37.435328,-122.20563,3.131906378,3.726610435
111,112,2/3/2015 3:01,37.4192559,-122.1495572,1.810750632,2.271111005
112,113,2/3/2015 2:57,37.4192559,-122.1495572,5.17135935,2.271111005
113,114,2/3/2015 3:01,37.441397,-122.173119,9.114988858,1.239697282
114,115,2/3/2015 2:44,37.452955,-122.181766,2.480952619,1.811793562
115,116,2/3/2015 3:02,37.42447,-122.2173,1.178282501,4.339841475
116,117,2/3/2015 2:48,37.56817594,-122.3913343,2.931665417,19.30810963
117,118,2/3/2015 3:10,37.42365038,-122.1601122,0.705623691,1.701375935
118,119,2/3/2015 3:07,37.350199,-122.117998,3.476580945,9.759563612
119,120,2/3/2015 2:59,37.442002,-122.134531,2.968640012,2.038345428
120,121,2/3/2015 2:54,37.52986,-122.29194,3.998658902,12.34223004
121,122,2/3/2015 3:03,37.4302197,-122.1881607,4.202634536,2.299445523
122,123,2/3/2015 2:58,37.4188429,-122.2092006,3.079448666,4.133794852
123,124,2/3/2015 3:01,37.4226183,-122.2012892,4.458601293,3.274003799
124,125,2/3/2015 2:56,37.4135361,-122.09444,2.996556126,5.342361447
125,126,2/3/2015 3:04,37.438258,-122.220293,6.524336197,4.784370289
126,127,2/3/2015 3:04,37.419065,-122.164336,0.280330849,2.276703344
127,128,2/3/2015 2:56,37.46381581,-122.1724202,3.372317611,2.539232592
128,129,2/3/2015 2:48,37.43441,-122.202669,1.961769884,3.395171144
129,130,2/3/2015 2:50,37.41689682,-122.1138501,0.650318868,3.706788701
130,131,2/3/2015 3:00,37.436874,-122.143586,1.308324666,1.48122419
131,132,2/3/2015 2:55,37.444042,-122.148934,5.649423446,1.343590513
