Pair,Distance
"(17, 3)",6.330217063
"(3, 17)",6.330217063
"(17, 4)",2.955986121
"(4, 17)",2.955986121
"(17, 5)",2.961019226
"(5, 17)",2.961019226
"(17, 6)",3.624022083
"(6, 17)",3.624022083
"(17, 7)",5.926325913
"(7, 17)",5.926325913
"(17, 8)",5.261148257
"(8, 17)",5.261148257
"(17, 9)",11.06102517
"(9, 17)",11.06102517
"(18, 1)",3.501674133
"(1, 18)",3.501674133
"(18, 2)",4.427516923
"(2, 18)",4.427516923
"(18, 3)",4.101607834
"(3, 18)",4.101607834
"(18, 4)",1.544728306
"(4, 18)",1.544728306
"(18, 5)",2.111605069
"(5, 18)",2.111605069
"(18, 6)",2.646419089
"(6, 18)",2.646419089
"(18, 7)",11.17399042
"(7, 18)",11.17399042
"(18, 8)",6.405340816
"(8, 18)",6.405340816
"(18, 9)",9.010252323
"(9, 18)",9.010252323
"(19, 1)",13.01380781
"(1, 19)",13.01380781
"(19, 2)",13.40365598
"(2, 19)",13.40365598
"(19, 3)",12.80086397
"(3, 19)",12.80086397
"(19, 4)",15.44473544
"(4, 19)",15.44473544
"(19, 5)",15.23707325
"(5, 19)",15.23707325
"(19, 6)",15.52955258
"(6, 19)",15.52955258
"(19, 7)",19.41815444
"(7, 19)",19.41815444
"(19, 8)",18.22804256
"(8, 19)",18.22804256
"(19, 9)",5.380700037
"(9, 19)",5.380700037
"(20, 1)",0.747757861
"(1, 20)",0.747757861
"(20, 2)",5.5049121
"(2, 20)",5.5049121
"(20, 3)",2.105204948
"(3, 20)",2.105204948
"(20, 4)",5.131281718
"(4, 20)",5.131281718
"(20, 5)",5.698220618
"(5, 20)",5.698220618
"(20, 6)",2.519845816
"(6, 20)",2.519845816
"(20, 7)",7.325032034
"(7, 20)",7.325032034
"(20, 8)",6.134920157
"(8, 20)",6.134920157
"(20, 9)",9.164290194
"(9, 20)",9.164290194
"(21, 1)",3.063731853
"(1, 21)",3.063731853
"(21, 2)",0.594776321
"(2, 21)",0.594776321
"(21, 3)",2.659840703
"(3, 21)",2.659840703
"(21, 4)",3.980502626
"(4, 21)",3.980502626
"(21, 5)",4.547441526
"(5, 21)",4.547441526
"(21, 6)",2.938774145
"(6, 21)",2.938774145
"(21, 7)",8.348802893
"(7, 21)",8.348802893
"(21, 8)",6.697695872
"(8, 21)",6.697695872
"(21, 9)",5.755759573
"(9, 21)",5.755759573
"(22, 1)",3.137985687
"(1, 22)",3.137985687
"(22, 2)",1.011591988
"(2, 22)",1.011591988
"(22, 3)",2.734094537
"(3, 22)",2.734094537
"(22, 4)",4.549802736
"(4, 22)",4.549802736
"(22, 5)",5.116741637
"(5, 22)",5.116741637
"(22, 6)",3.013090116
"(6, 22)",3.013090116
"(22, 7)",8.423056728
"(7, 22)",8.423056728
"(22, 8)",6.772011844
"(8, 22)",6.772011844
"(22, 9)",5.914457726
"(9, 22)",5.914457726
"(23, 1)",7.57494745
"(1, 23)",7.57494745
"(23, 2)",7.750360483
"(2, 23)",7.750360483
"(23, 3)",7.362003608
"(3, 23)",7.362003608
"(23, 4)",11.21959905
"(4, 23)",11.21959905
"(23, 5)",13.7884089
"(5, 23)",13.7884089
"(23, 6)",10.09063008
"(6, 23)",10.09063008
"(23, 7)",13.97929407
"(7, 23)",13.97929407
"(23, 8)",12.7891822
"(8, 23)",12.7891822
"(23, 9)",3.413812274
"(9, 23)",3.413812274
"(24, 1)",8.047748644
"(1, 24)",8.047748644
"(24, 2)",6.304243755
"(2, 24)",6.304243755
"(24, 3)",7.834866939
"(3, 24)",7.834866939
"(24, 4)",9.635103
"(4, 24)",9.635103
"(24, 5)",12.15892559
"(5, 24)",12.15892559
"(24, 6)",8.149032117
"(6, 24)",8.149032117
"(24, 7)",14.45209527
"(7, 24)",14.45209527
"(24, 8)",13.26204553
"(8, 24)",13.26204553
"(24, 9)",1.142825543
"(9, 24)",1.142825543
"(25, 1)",3.566855951
"(1, 25)",3.566855951
"(25, 2)",7.687664149
"(2, 25)",7.687664149
"(25, 3)",4.28789486
"(3, 25)",4.28789486
"(25, 4)",6.504573765
"(4, 25)",6.504573765
"(25, 5)",6.681913049
"(5, 25)",6.681913049
"(25, 6)",3.743698138
"(6, 25)",3.743698138
"(25, 7)",5.544058473
"(7, 25)",5.544058473
"(25, 8)",4.353946597
"(8, 25)",4.353946597
"(25, 9)",11.34698011
"(9, 25)",11.34698011
"(26, 1)",4.084520131
"(1, 26)",4.084520131
"(26, 2)",4.28081123
"(2, 26)",4.28081123
"(26, 3)",4.684391695
"(3, 26)",4.684391695
"(26, 4)",0.963497873
"(4, 26)",0.963497873
"(26, 5)",1.530436773
"(5, 26)",1.530436773
"(26, 6)",2.559240738
"(6, 26)",2.559240738
"(26, 7)",10.59282212
"(7, 26)",10.59282212
"(26, 8)",6.25484476
"(8, 26)",6.25484476
"(26, 9)",9.502999526
"(9, 26)",9.502999526
"(27, 1)",14.88432093
"(1, 27)",14.88432093
"(27, 2)",19.00512913
"(2, 27)",19.00512913
"(27, 3)",15.60542198
"(3, 27)",15.60542198
"(27, 4)",16.81405071
"(4, 27)",16.81405071
"(27, 5)",16.60638852
"(5, 27)",16.60638852
"(27, 6)",15.14983276
"(6, 27)",15.14983276
"(27, 7)",9.181564307
"(7, 27)",9.181564307
"(27, 8)",10.51695272
"(8, 27)",10.51695272
"(27, 9)",22.66450723
"(9, 27)",22.66450723
"(28, 1)",0.840963511
"(1, 28)",0.840963511
"(28, 2)",4.424472206
"(2, 28)",4.424472206
"(28, 3)",0.729489554
"(3, 28)",0.729489554
"(28, 4)",5.04938502
"(4, 28)",5.04938502
"(28, 5)",5.616323921
"(5, 28)",5.616323921
"(28, 6)",3.261514242
"(6, 28)",3.261514242
"(28, 7)",8.17146361
"(7, 28)",8.17146361
"(28, 8)",6.981413871
"(8, 28)",6.981413871
"(28, 9)",8.083850299
"(9, 28)",8.083850299
"(29, 1)",8.213965386
"(1, 29)",8.213965386
"(29, 2)",6.570501228
"(2, 29)",6.570501228
"(29, 3)",8.001021544
"(3, 29)",8.001021544
"(29, 4)",9.901422611
"(4, 29)",9.901422611
"(29, 5)",12.6292413
"(5, 29)",12.6292413
"(29, 6)",8.41528959
"(6, 29)",8.41528959
"(29, 7)",14.61831201
"(7, 29)",14.61831201
"(29, 8)",13.42820013
"(8, 29)",13.42820013
"(29, 9)",1.613141253
"(9, 29)",1.613141253
"(30, 1)",9.413273553
"(1, 30)",9.413273553
"(30, 2)",5.662802471
"(2, 30)",5.662802471
"(30, 3)",9.200329712
"(3, 30)",9.200329712
"(30, 4)",10.89872307
"(4, 30)",10.89872307
"(30, 5)",10.69106088
"(5, 30)",10.69106088
"(30, 6)",7.927389081
"(6, 30)",7.927389081
"(30, 7)",15.81762018
"(7, 30)",15.81762018
"(30, 8)",14.6275083
"(8, 30)",14.6275083
"(30, 9)",1.019359126
"(9, 30)",1.019359126
"(31, 1)",9.127691442
"(1, 31)",9.127691442
"(31, 2)",7.338205099
"(2, 31)",7.338205099
"(31, 3)",8.914809737
"(3, 31)",8.914809737
"(31, 4)",12.40679048
"(4, 31)",12.40679048
"(31, 5)",12.19919043
"(5, 31)",12.19919043
"(31, 6)",9.182993461
"(6, 31)",9.182993461
"(31, 7)",15.53203806
"(7, 31)",15.53203806
"(31, 8)",14.34198833
"(8, 31)",14.34198833
"(31, 9)",0.994504286
"(9, 31)",0.994504286
"(32, 1)",4.789900491
"(1, 32)",4.789900491
"(32, 2)",2.40041831
"(2, 32)",2.40041831
"(32, 3)",4.098314568
"(3, 32)",4.098314568
"(32, 4)",5.555243151
"(4, 32)",5.555243151
"(32, 5)",7.59700612
"(5, 32)",7.59700612
"(32, 6)",4.66500492
"(6, 32)",4.66500492
"(32, 7)",13.20077835
"(7, 32)",13.20077835
"(32, 8)",8.423926647
"(8, 32)",8.423926647
"(32, 9)",4.151503925
"(9, 32)",4.151503925
"(33, 1)",3.235354523
"(1, 33)",3.235354523
"(33, 2)",4.5574456
"(2, 33)",4.5574456
"(33, 3)",4.126586948
"(3, 33)",4.126586948
"(33, 4)",2.290746329
"(4, 33)",2.290746329
"(33, 5)",2.496047307
"(5, 33)",2.496047307
"(33, 6)",1.139656551
"(6, 33)",1.139656551
"(33, 7)",6.280818068
"(7, 33)",6.280818068
"(33, 8)",4.629773184
"(8, 33)",4.629773184
"(33, 9)",12.34341064
"(9, 33)",12.34341064
"(34, 1)",2.410111698
"(1, 34)",2.410111698
"(34, 2)",6.76716515
"(2, 34)",6.76716515
"(34, 3)",3.36739586
"(3, 34)",3.36739586
"(34, 4)",5.801181793
"(4, 34)",5.801181793
"(34, 5)",6.368120694
"(5, 34)",6.368120694
"(34, 6)",2.600189087
"(6, 34)",2.600189087
"(34, 7)",6.624063408
"(7, 34)",6.624063408
"(34, 8)",4.241105623
"(8, 34)",4.241105623
"(34, 9)",10.42648111
"(9, 34)",10.42648111
"(35, 1)",0.223134326
"(1, 35)",0.223134326
"(35, 2)",4.094586342
"(2, 35)",4.094586342
"(35, 3)",1.162336593
"(3, 35)",1.162336593
"(35, 4)",4.558066971
"(4, 35)",4.558066971
"(35, 5)",5.125005871
"(5, 35)",5.125005871
"(35, 6)",2.461374805
"(6, 35)",2.461374805
"(35, 7)",8.001207956
"(7, 35)",8.001207956
"(35, 8)",6.811096079
"(8, 35)",6.811096079
"(35, 9)",8.839188886
"(9, 35)",8.839188886
"(36, 1)",0.868676658
"(1, 36)",0.868676658
"(36, 2)",4.452185352
"(2, 36)",4.452185352
"(36, 3)",0.757202701
"(3, 36)",0.757202701
"(36, 4)",5.07703603
"(4, 36)",5.07703603
"(36, 5)",5.64397493
"(5, 36)",5.64397493
"(36, 6)",3.289227389
"(6, 36)",3.289227389
"(36, 7)",8.199176756
"(7, 36)",8.199176756
"(36, 8)",7.00906488
"(8, 36)",7.00906488
"(36, 9)",8.111501308
"(9, 36)",8.111501308
"(37, 1)",3.150226696
"(1, 37)",3.150226696
"(37, 2)",1.667821901
"(2, 37)",1.667821901
"(37, 3)",3.06808145
"(3, 37)",3.06808145
"(37, 4)",3.25449275
"(4, 37)",3.25449275
"(37, 5)",3.82143165
"(5, 37)",3.82143165
"(37, 6)",3.106109355
"(6, 37)",3.106109355
"(37, 7)",8.516075966
"(7, 37)",8.516075966
"(37, 8)",6.865031082
"(8, 37)",6.865031082
"(37, 9)",7.044234479
"(9, 37)",7.044234479
"(38, 1)",1.08075058
"(1, 38)",1.08075058
"(38, 2)",4.30224853
"(2, 38)",4.30224853
"(38, 3)",1.971983006
"(3, 38)",1.971983006
"(38, 4)",4.547627938
"(4, 38)",4.547627938
"(38, 5)",5.114566838
"(5, 38)",5.114566838
"(38, 6)",1.346697368
"(6, 38)",1.346697368
"(38, 7)",6.492581305
"(7, 38)",6.492581305
"(38, 8)",4.841474284
"(8, 38)",4.841474284
"(38, 9)",10.1888067
"(9, 38)",10.1888067
"(39, 1)",8.589024922
"(1, 39)",8.589024922
"(39, 2)",5.289047815
"(2, 39)",5.289047815
"(39, 3)",8.37608108
"(3, 39)",8.37608108
"(39, 4)",11.51108419
"(4, 39)",11.51108419
"(39, 5)",11.303422
"(5, 39)",11.303422
